ID	Genome name	Taxonomy	Genome size(Mb)	GC(%)	GenBank accession number	BioProject
Gma0	Granulicella mallensis MP5ACTX8	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Granulicella.	6.24	57.90	CP003130	PRJNA49957
CMo1	Candidatus Moranella endobia PCVAL	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Candidatus Moranella.	0.54	43.50	CP003881	PRJNA197215
CMo0	Candidatus Moranella endobia PCIT	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Candidatus Moranella.	0.54	43.50	CP002243	PRJNA68739
Mga9	Mycoplasma gallisepticum str. R(low)	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	1.01	31.50	AE015450	PRJNA57993
Mga8	Mycoplasma gallisepticum WI01_2001.043-13-2P	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.94	31.60	CP003510	PRJNA172628
Hhe0	Helicobacter hepaticus ATCC 51449	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.8	35.90	AE017125	PRJNA57737
Cps8	Corynebacterium pseudotuberculosis 31	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.3	52.20	CP003421	PRJNA162167
Cps9	Corynebacterium pseudotuberculosis 316	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.31	52.10	CP003077	PRJNA89381
Cps4	Corynebacterium pseudotuberculosis FRC41	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.34	52.20	CP002097	PRJNA50585
Cps5	Corynebacterium pseudotuberculosis I19	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.34	52.20	CP002251	PRJNA159673
Cps6	Colwellia psychrerythraea 34H	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Colwelliaceae; Colwellia.	5.37	38.00	CP000083	PRJNA57855
Cps7	Chlamydia psittaci 01DC11	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.17	39.10	CP002805	PRJNA159527
Cps0	Chlamydia psittaci M56	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.17	38.76	CP003795	PRJNA175576
Cps1	Chlamydia psittaci 84/55	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.18	39.06	CP003790	PRJNA175571
Cps2	Chlamydia psittaci C19/98	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.17	39.00	CP002804	PRJNA159523
Cps3	Corynebacterium pseudotuberculosis 258	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.31	52.10	CP003540	PRJNA167260
SNB0	Sulfurovum sp. NBC37-1	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum.	2.56	43.90	AP009179	PRJNA58863
Kse1	Kitasatospora setae KM-6054	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Streptomycineae; Streptomycetaceae; Kitasatospora.	8.78	74.20	AP010968	PRJNA77027
Kse0	Kytococcus sedentarius DSM 20547	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Dermacoccaceae; Kytococcus.	2.79	71.60	CP001686	PRJNA59071
Pte0	Paenibacillus terrae HPL-003	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus.	6.08	46.80	CP003107	PRJNA82371
CPr0	Candidatus Profftella armatura DC	Bacteria; Proteobacteria; Betaproteobacteria; Candidatus Profftella.	0.46	24.2	CP003468	PRJNA213384
Bxe0	Burkholderia xenovorans LB400	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	9.73	62.63	CP000270,CP000271,CP000272	PRJNA57823
Cpa0	Chlorobaculum parvum NCIB 8327	Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobaculum.	2.29	55.80	CP001099	PRJNA59185
ASE0	Actinoplanes sp. SE50/110	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micromonosporineae; Micromonosporaceae; Actinoplanes.	9.24	71.30	CP003170	PRJNA162333
Ret0	Rhizobium etli bv. mimosae str. Mim1	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium.	7.2	60.82	CP005950	PRJNA213896
Tli1	Thermococcus litoralis DSM 5473	Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus.	2.22	43.10	CP006670	PRJNA82997
Tli0	Thermovirga lienii DSM 17291	Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae; Thermovirga.	2.0	47.1	CP003096	PRJNA77129
Sco1	Streptomyces collinus Tu 365	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Streptomycineae; Streptomycetaceae; Streptomyces.	8.38	72.55	CP006259	PRJNA214429
Ype9	Yersinia pestis D182038	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	4.8	47.61	CP001589	PRJNA158073
Sco0	Streptococcus constellatus subsp. pharyngis C818	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus anginosus group.	1.94	38.20	CP003840	PRJNA218001
Cfe0	Chlamydophila felis Fe/C-56	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydophila.	1.17	39.36	AP006861	PRJNA57971
Cfe1	Campylobacter fetus subsp. fetus 82-40	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter.	1.77	33.30	CP000487	PRJNA58545
Cfe2	Campylobacter fetus subsp. testudinum 03-427	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter.	1.78	33.10	CP006833	PRJNA226993
BS20	Bradyrhizobium sp. S23321	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium.	7.23	64.30	AP012279	PRJNA158167
Hne1	Halothiobacillus neapolitanus c2	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Halothiobacillaceae; Halothiobacillus.	2.58	54.70	CP001801	PRJNA41317
Hne0	Hyphomonas neptunium ATCC 15444	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Hyphomonas.	3.71	61.90	CP000158	PRJNA58433
Ppu9	Pseudomonas putida NBRC 14164	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	6.16	62.30	AP013070	PRJNA208670
Ppu8	Pseudomonas putida ND6	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	6.2	61.72	CP003588	PRJNA167583
Sub0	Streptococcus uberis 0140J	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	1.85	36.60	AM946015	PRJNA57959
Ppu3	Pseudomonas putida HB3267 PC9	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	5.96	62.56	CP003738	PRJNA184078
Ppu2	Pseudomonas putida BIRD-1	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	5.73	61.70	CP002290	PRJNA162055
Ppu1	Pseudomonas putida DOT-T1E	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	6.26	61.40	CP003734	PRJNA171260
Ppu0	Pseudomonas putida F1	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	5.96	61.90	CP000712	PRJNA58355
Ppu7	Pseudomonas putida GB-1	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	6.08	61.90	CP000926	PRJNA58735
Ppu6	Pseudomonas putida W619	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	5.77	61.40	CP000949	PRJNA58651
Ppu5	Pseudomonas putida KT2440	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	6.18	61.50	AE015451	PRJNA57843
Ppu4	Pseudomonas putida H8234	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	6.87	61.60	CP005976	PRJNA208673
Aba2	Acinetobacter baumannii AB0057	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	4.06	39.19	CP001182	PRJNA59083
Aba3	Acinetobacter baumannii BJAB0868	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	4.01	38.94	CP003849	PRJNA210973
Aba0	Acinetobacter baumannii D1279779	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	3.71	38.99	CP003967	PRJNA190222
Aba1	Acinetobacter baumannii MDR-ZJ06	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	4.01	39.04	CP001937	PRJNA158685
Aba6	Acinetobacter baumannii TYTH-1	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	3.96	39.00	CP003856	PRJNA176498
Aba7	Acinetobacter baumannii AB307-0294	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	3.76	39.00	CP001172	PRJNA59271
Aba4	Acinetobacter baumannii ZW85-1	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	3.93	39.2	CP006768	PRJNA231518
Bat0	Bacillus atrophaeus 1942	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	4.17	43.20	CP002207	PRJNA59887
Sag1	Streptococcus agalactiae 2603V/R	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.16	35.60	AE009948	PRJNA57943
Sag0	Simiduia agarivorans SA1 = DSM 21679	Bacteria; Proteobacteria; Gammaproteobacteria; Simiduia.	4.3	55.80	CP003746	PRJNA177713
Sag3	Streptococcus agalactiae ILRI005	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.11	35.40	HF952105	PRJNA208676
Aba9	Acinetobacter baumannii 1656-2	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	4.02	39.08	CP001921	PRJNA158677
Sag5	Streptococcus agalactiae 09mas018883	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.14	35.50	HF952104	PRJNA208674
Sag4	Streptococcus agalactiae GD201008-001	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.06	35.60	CP003810	PRJNA175780
Sag7	Streptococcus agalactiae A909	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.13	35.60	CP000114	PRJNA57935
Sag6	Streptococcus agalactiae SA20-06	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	1.82	35.60	CP003919	PRJNA178722
Lpl4	Lactobacillus plantarum ZJ316	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	3.3	44.45	CP004082	PRJNA188689
Tth4	Thermus thermophilus JL-18	Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus.	2.31	68.98	CP003252	PRJNA162129
Ype3	Yersinia pestis D106004	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	4.81	47.6	CP001585	PRJNA158071
Lpl0	Lactobacillus plantarum 16	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	3.36	44.31	CP006033	PRJNA209042
Lpl1	Lactobacillus plantarum subsp. plantarum ST-III	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	3.31	44.5	CP002222	PRJNA53537
Lpl2	Lactobacillus plantarum JDM1	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	3.2	44.70	CP001617	PRJNA59361
Lpl3	Lactobacillus plantarum subsp. plantarum P-8	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	3.23	44.56	CP005942	PRJNA203333
Rsp1	Rhodobacter sphaeroides ATCC 17025	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter.	4.56	68.25	CP000661	PRJNA58451
Ype4	Yersinia pestis KIM10+	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	4.7	47.66	AE009952	PRJNA57875
Rsp2	Rhodobacter sphaeroides ATCC 17029	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter.	4.49	68.98	CP000577,CP000578	PRJNA58449
Pme0	Prevotella melaninogenica ATCC 25845	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella.	3.17	40.99	CP002122,CP002123	PRJNA51377
Sgr1	Saprospira grandis str. Lewin	Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Saprospiraceae; Saprospira.	4.4	46.4	CP002831	PRJNA89375
Csa8	Cronobacter sakazakii ES15	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Cronobacter.	4.27	57.10	CP003312	PRJNA167045
Pme1	Pseudomonas mendocina ymp	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	5.07	64.70	CP000680	PRJNA58723
Dac0	Desulfotomaculum acetoxidans DSM 771	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum.	4.55	41.60	CP001720	PRJNA59109
Dac1	Delftia acidovorans SPH-1	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia.	6.77	66.50	CP000884	PRJNA58703
Csa3	Clostridium saccharoperbutylacetonicum N1-4(HMT)	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	6.67	29.5	CP004121	PRJNA189747
Dac3	Desulfobacca acetoxidans DSM 11109	Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Desulfobacca.	3.28	52.90	CP002629	PRJNA65785
Csa5	Chromohalobacter salexigens DSM 3043	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Chromohalobacter.	3.7	63.90	CP000285	PRJNA62921
Csa4	Clostridium saccharolyticum WM1	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae.	4.66	45.00	CP002109	PRJNA51419
Csa7	Cronobacter sakazakii ATCC BAA-894	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Cronobacter.	4.53	56.76	CP000783	PRJNA58145
Csa6	Caldicellulosiruptor saccharolyticus DSM 8903	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Caldicellulosiruptor.	2.97	35.30	CP000679	PRJNA58289
Cce1	Clostridium cellulolyticum H10	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	4.07	37.40	CP001348	PRJNA58709
Cce0	Clostridium cellulovorans 743B	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	5.26	31.20	CP002160	PRJNA51503
RPC0	Rivularia sp. PCC 7116	Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Rivularia.	8.73	37.5	CP003549	PRJNA182929
Cbu0	Coxiella burnetii CbuG_Q212	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella.	2.01	42.60	CP001019	PRJNA58893
Cbu1	Coxiella burnetii Dugway 5J108-111	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella.	2.21	42.34	CP000733	PRJNA58629
Cbu2	Coxiella burnetii RSA 331	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella.	2.05	42.74	CP000890	PRJNA58637
Cbu3	Coxiella burnetii CbuK_Q154	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella.	2.1	42.64	CP001020	PRJNA58895
Cbu4	Coxiella burnetii RSA 493	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella.	2.03	42.64	AE016828	PRJNA57631
BRP0	Burkholderia sp. RPE64	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	6.96	63.15	AP013058,AP013059,AP013060	PRJNA205541
Tps0	Thermoanaerobacter pseudethanolicus ATCC 33223	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter.	2.36	34.50	CP000924	PRJNA58339
Cdi8	Corynebacterium diphtheriae INCA 402	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.45	53.70	CP003208	PRJNA83605
Cdi9	Corynebacterium diphtheriae HC01	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.43	53.40	CP003212	PRJNA84297
Cdi6	Corynebacterium diphtheriae HC04	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.48	53.50	CP003215	PRJNA84301
Cdi7	Corynebacterium diphtheriae 31A	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.54	53.60	CP003206	PRJNA84309
Cdi4	Corynebacterium diphtheriae HC02	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.47	53.70	CP003213	PRJNA84317
Cdi5	Corynebacterium diphtheriae HC03	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.48	53.50	CP003214	PRJNA84299
Cdi2	Corynebacterium diphtheriae CDCE 8392	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.43	53.60	CP003211	PRJNA84295
Cdi3	Corynebacterium diphtheriae PW8	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.53	53.70	CP003216	PRJNA84303
Cdi0	candidate division SR1 bacterium RAAC1_SR1_1	Bacteria; candidate division SR1.	1.18	31.10	CP006913	PRJNA230714
Cdi1	Corynebacterium diphtheriae 241	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.43	53.40	CP003207	PRJNA83607
Cak0	Coraliomargarita akajimensis DSM 45221	Bacteria; Verrucomicrobia; Opitutae; Puniceicoccales; Puniceicoccaceae; Coraliomargarita.	3.75	53.60	CP001998	PRJNA47079
TCC0	Thermus sp. CCB_US3_UF1	Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus.	2.26	68.57	CP003126	PRJNA81197
Aor0	Alkaliphilus oremlandii OhILAs	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Alkaliphilus.	3.12	36.30	CP000853	PRJNA58495
Aor1	Amycolatopsis orientalis HCCB10007	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Pseudonocardiaceae; Amycolatopsis.	8.98	69.0	CP003410	PRJNA203791
PPR0	Psychrobacter sp. PRwf-1	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter.	3.0	44.87	CP000713	PRJNA58459
Nph0	Natronomonas pharaonis DSM 2160 Gabara	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Natronomonas.	2.75	63.08	CR936257	PRJNA58435
Eco33	Escherichia coli SMS-3-5	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	5.22	50.5	CP000970	PRJNA58919
Tos0	Thermus oshimai JL-2	Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus.	2.4	68.6	CP003249	PRJNA178948
Lmo33	Listeria monocytogenes J2-064	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	5.14	45.34	CP006592	PRJNA212977
Bce18	Bacillus cereus NC7401	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.55	35.54	AP007209	PRJNA82815
Bce19	Bacillus cereus ATCC 10987	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.43	35.52	AE017194	PRJNA57673
VEx0	Vibrio sp. Ex25 EX25	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	5.09	44.90	CP001805,CP001806	PRJNA41601
Hhi1	Haloarcula hispanica ATCC 33960 CGMCC 1.2049	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haloarcula.	3.89	62.46	CP002921,CP002922	PRJNA72475
Dmu0	Desulfurococcus mucosus DSM 2162	Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Desulfurococcus.	1.31	53.10	CP002363	PRJNA62227
Bce10	Bacillus cereus E33L	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.84	35.17	CP000001	PRJNA58103
Bce11	Bacillus cereus G9842	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.74	35.05	CP001186	PRJNA58759
Bce12	Burkholderia cenocepacia HI2424	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	7.7	66.8	CP000458,CP000459,CP000460	PRJNA58369
Hhi0	Haloarcula hispanica N601	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haloarcula.	3.9	62.47	CP006884,CP006885	PRJNA230920
Bce14	Bacillus cereus F837/76	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.29	35.40	CP003187	PRJNA83611
Bce15	Bacillus cereus Q1	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.51	35.5	CP000227	PRJNA58529
Bce16	Bacillus cereus ATCC 14579	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.43	35.31	AE016877	PRJNA57975
Bce17	Bacillus cereus AH187	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.6	35.52	CP001177	PRJNA58753
Aar0	Arthrobacter arilaitensis Re117	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Arthrobacter.	3.92	59.29	FQ311875	PRJNA53509
Aar1	Acetohalobium arabaticum DSM 5501	Bacteria; Firmicutes; Clostridia; Halanaerobiales; Halobacteroidaceae; Acetohalobium.	2.47	36.60	CP002105	PRJNA51423
Aar2	Aromatoleum aromaticum EbN1	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Aromatoleum.	4.73	64.68	CR555306	PRJNA58231
Aol0	Acinetobacter oleivorans DR1	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter.	4.15	38.70	CP002080	PRJNA50119
Ava0	Anabaena variabilis ATCC 29413	Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Anabaena.	7.11	41.39	CP000117,CP000118	PRJNA58043
Smo0	Streptobacillus moniliformis DSM 12112	Bacteria; Fusobacteria; Fusobacteriales; Leptotrichiaceae; Streptobacillus.	1.67	26.27	CP001779	PRJNA41863
Gth1	Geobacillus thermoleovorans CCB_US3_UF5	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; Geobacillus thermoleovorans group.	3.6	52.30	CP003125	PRJNA82949
Gth0	Geobacillus thermodenitrificans NG80-2	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus.	3.61	48.85	CP000557	PRJNA58829
Gth2	Geobacillus thermoglucosidasius C56-YS93	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus.	3.99	43.98	CP002835	PRJNA48129
Spi0	Shewanella piezotolerans WP3	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	5.4	43.30	CP000472	PRJNA58745
Blo7	Bifidobacterium longum NCC2705	Bacteria; Actinobacteria; Actinobacteridae; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium.	2.26	60.11	AE014295	PRJNA57939
VEJ0	Vibrio sp. EJY3	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	5.45	44.86	CP003241,CP003242	PRJNA83161
Spn15	Streptococcus pneumoniae SPNA45	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.13	39.80	HE983624	PRJNA174986
JMa0	Janthinobacterium sp. Marseille	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium.	4.11	54.20	CP000269	PRJNA58603
Pma10	Prochlorococcus marinus str. NATL2A	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	1.84	35.10	CP000095	PRJNA58359
Pma11	Prochlorococcus marinus str. MIT 9303	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	2.68	50.00	CP000554	PRJNA58305
Lca5	Lactobacillus casei LC2W	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	3.08	46.35	CP002616	PRJNA162121
BCC0	Burkholderia sp. CCGE1003	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	7.04	63.23	CP002217,CP002218	PRJNA46253
BCC1	Burkholderia sp. CCGE1001	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	6.83	63.62	CP002519,CP002520	PRJNA42975
